P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
6,64,shu-osher,Hybrid + NN policy,True,,2.45968e-02,5.31800e-02,0.00871,0.97077
6,64,random_seed42,DGSEM (no stabilization),False,0.06680,8.55652e-02,9.04069e-02,0.00000,0.00000
6,64,random_seed42,Hybrid + Persson-Peraire,True,,4.46256e-02,7.88349e-02,0.02898,1.00000
6,64,random_seed42,Hybrid + NN policy,True,,3.97404e-02,6.72146e-02,0.01483,0.99827
6,96,sod,DGSEM (no stabilization),True,,5.31924e-03,8.03075e-03,0.00000,0.00000
6,96,sod,Hybrid + Persson-Peraire,True,,4.62672e-03,4.62672e-03,0.00614,1.00000
6,96,sod,Hybrid + NN policy,True,,4.26746e-03,4.28658e-03,0.00226,0.89087
6,96,shu-osher,DGSEM (no stabilization),False,0.18900,3.93077e-02,3.93077e-02,0.00000,0.00000
6,96,shu-osher,Hybrid + Persson-Peraire,True,,3.49483e-02,5.57323e-02,0.01459,1.00000
6,96,shu-osher,Hybrid + NN policy,True,,2.08839e-02,4.93896e-02,0.00670,0.98932
6,96,random_seed42,DGSEM (no stabilization),True,,5.48785e-02,5.48785e-02,0.00000,0.00000
6,96,random_seed42,Hybrid + Persson-Peraire,True,,2.23240e-02,2.63618e-02,0.01084,1.00000
6,96,random_seed42,Hybrid + NN policy,True,,1.84978e-02,2.46585e-02,0.00530,0.97588
8,32,sod,DGSEM (no stabilization),True,,5.01234e-03,7.46285e-03,0.00000,0.00000
8,32,sod,Hybrid + Persson-Peraire,True,,4.20734e-03,4.99349e-03,0.00392,0.99752
8,32,sod,Hybrid + NN policy,True,,3.44514e-03,4.25420e-03,0.00152,0.65405
8,32,lax,DGSEM (no stabilization),False,0.08720,5.85965e-02,5.85965e-02,0.00000,0.00000
8,32,lax,Hybrid + Persson-Peraire,True,,3.96226e-02,4.25570e-02,0.01427,1.00000
8,32,lax,Hybrid + NN policy,True,,4.53800e-02,4.69835e-02,0.00740,0.94949
8,32,shu-osher,DGSEM (no stabilization),False,0.54900,3.24713e-02,3.62177e-02,0.00000,0.00000
8,32,shu-osher,Hybrid + Persson-Peraire,True,,5.09586e-02,5.97332e-02,0.02833,1.00000
8,32,shu-osher,Hybrid + NN policy,True,,3.50062e-02,5.16659e-02,0.00995,0.96520
8,32,random_seed42,DGSEM (no stabilization),False,0.07360,1.03624e-01,1.11024e-01,0.00000,0.00000
8,32,random_seed42,Hybrid + Persson-Peraire,True,,5.34505e-02,9.06052e-02,0.04760,1.00000
8,32,random_seed42,Hybrid + NN policy,True,,4.48509e-02,7.14179e-02,0.01875,0.97850
8,64,sod,DGSEM (no stabilization),False,0.13600,7.08495e-03,7.38853e-03,0.00000,0.00000
8,64,sod,Hybrid + Persson-Peraire,True,,3.78912e-03,4.51586e-03,0.00654,1.00000
8,64,sod,Hybrid + NN policy,True,,3.68693e-03,4.19965e-03,0.00241,0.82144
8,64,lax,DGSEM (no stabilization),False,0.00480,2.62249e-04,2.62249e-04,0.00000,0.00000
8,64,lax,Hybrid + Persson-Peraire,False,0.00480,2.62249e-04,2.62249e-04,0.00434,1.00000
8,64,lax,Hybrid + NN policy,False,0.00480,2.62249e-04,2.62249e-04,0.00939,0.99158
8,64,shu-osher,DGSEM (no stabilization),False,0.23400,1.77188e-02,1.77188e-02,0.00000,0.00000
8,64,shu-osher,Hybrid + Persson-Peraire,True,,3.90931e-02,5.43409e-02,0.01694,1.00000
8,64,shu-osher,Hybrid + NN policy,True,,1.99359e-02,4.63968e-02,0.00701,0.96645
8,64,random_seed42,DGSEM (no stabilization),False,0.01000,7.17924e-03,7.17924e-03,0.00000,0.00000
8,64,random_seed42,Hybrid + Persson-Peraire,False,0.00960,1.44285e-03,1.44285e-03,0.00117,0.88904
8,64,random_seed42,Hybrid + NN policy,False,0.00960,1.43905e-03,1.43905e-03,0.00096,0.84195
8,96,sod,DGSEM (no stabilization),False,0.05800,2.00017e-03,2.00017e-03,0.00000,0.00000
8,96,sod,Hybrid + Persson-Peraire,False,0.04900,5.57468e-04,5.57468e-04,0.00039,0.92836
8,96,sod,Hybrid + NN policy,False,0.05700,1.93932e-03,1.93932e-03,0.00028,0.43856
8,96,shu-osher,DGSEM (no stabilization),False,0.17100,1.83942e-02,1.83942e-02,0.00000,0.00000
8,96,shu-osher,Hybrid + Persson-Peraire,True,,2.67792e-02,4.35912e-02,0.01188,1.00000
8,96,shu-osher,Hybrid + NN policy,True,,1.78453e-02,4.23552e-02,0.00548,0.97680
8,96,random_seed42,DGSEM (no stabilization),False,0.00900,9.80413e-04,9.80413e-04,0.00000,0.00000
8,96,random_seed42,Hybrid + Persson-Peraire,False,0.00900,9.80413e-04,9.80413e-04,0.00019,0.08895
8,96,random_seed42,Hybrid + NN policy,False,0.00900,9.80413e-04,9.80413e-04,0.00000,0.00000
