P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
6,64,shu-osher,DGSEM (no stabilization),False,0.28800,4.14152e-02,4.14152e-02,0.00000,0.00000
6,64,shu-osher,Hybrid + Persson-Peraire,True,,2.31126e-02,5.01562e-02,0.02138,1.00000
6,64,shu-osher,Hybrid + NN policy,True,,1.65446e-02,2.84575e-02,0.01536,0.88907
6,64,random_seed42,DGSEM (no stabilization),False,0.06680,8.67139e-02,9.04460e-02,0.00000,0.00000
6,64,random_seed42,Hybrid + Persson-Peraire,True,,3.59718e-02,6.53408e-02,0.02898,1.00000
6,64,random_seed42,Hybrid + NN policy,True,,2.06140e-02,3.34149e-02,0.01262,0.97480
6,96,sod,DGSEM (no stabilization),True,,5.29539e-03,7.90165e-03,0.00000,0.00000
6,96,sod,Hybrid + Persson-Peraire,True,,3.27589e-03,3.27589e-03,0.00614,1.00000
6,96,sod,Hybrid + NN policy,True,,1.90949e-03,1.91007e-03,0.00642,0.76322
6,96,lax,DGSEM (no stabilization),False,0.00720,9.80908e-04,9.80908e-04,0.00000,0.00000
6,96,lax,Hybrid + Persson-Peraire,False,0.00720,9.80908e-04,9.80908e-04,0.00009,0.03297
6,96,lax,Hybrid + NN policy,False,0.00720,9.86461e-04,9.86461e-04,0.00374,0.42420
6,96,shu-osher,DGSEM (no stabilization),False,0.18900,5.22153e-02,5.22153e-02,0.00000,0.00000
6,96,shu-osher,Hybrid + Persson-Peraire,True,,1.99444e-02,4.25601e-02,0.01459,1.00000
6,96,shu-osher,Hybrid + NN policy,True,,1.36466e-02,2.69697e-02,0.01097,0.89562
6,96,random_seed42,DGSEM (no stabilization),False,0.06400,5.30135e-02,6.95320e-02,0.00000,0.00000
6,96,random_seed42,Hybrid + Persson-Peraire,False,0.04640,8.18144e-03,8.18144e-03,0.00078,1.00000
6,96,random_seed42,Hybrid + NN policy,False,0.06160,1.85114e-02,1.95484e-02,0.00259,0.78494
8,32,sod,DGSEM (no stabilization),True,,6.13983e-03,8.45902e-03,0.00000,0.00000
8,32,sod,Hybrid + Persson-Peraire,True,,1.89948e-03,2.69789e-03,0.00392,0.99752
8,32,sod,Hybrid + NN policy,True,,1.49005e-03,1.49005e-03,0.01154,0.52429
8,32,lax,DGSEM (no stabilization),False,0.08720,6.75997e-02,6.75997e-02,0.00000,0.00000
8,32,lax,Hybrid + Persson-Peraire,True,,2.23074e-02,2.58487e-02,0.01427,1.00000
8,32,lax,Hybrid + NN policy,True,,1.20286e-02,1.40600e-02,0.01836,0.89552
8,32,shu-osher,DGSEM (no stabilization),False,0.54900,3.85662e-02,4.32039e-02,0.00000,0.00000
8,32,shu-osher,Hybrid + Persson-Peraire,True,,2.19529e-02,3.59410e-02,0.02833,1.00000
8,32,shu-osher,Hybrid + NN policy,True,,1.42878e-02,1.90701e-02,0.02309,0.89304
8,32,random_seed42,DGSEM (no stabilization),False,0.07360,1.09256e-01,1.18516e-01,0.00000,0.00000
8,32,random_seed42,Hybrid + Persson-Peraire,True,,3.93759e-02,6.87366e-02,0.04760,1.00000
8,32,random_seed42,Hybrid + NN policy,True,,2.51363e-02,3.11324e-02,0.02102,0.97850
8,64,sod,DGSEM (no stabilization),False,0.13600,7.07195e-03,7.07195e-03,0.00000,0.00000
8,64,sod,Hybrid + Persson-Peraire,True,,1.92998e-03,2.65315e-03,0.00654,1.00000
8,64,sod,Hybrid + NN policy,True,,1.08251e-03,1.29973e-03,0.00789,0.71577
8,64,lax,DGSEM (no stabilization),False,0.00480,1.60287e-04,1.60287e-04,0.00000,0.00000
