scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),False,0.05040,4.74822e-02,5.55845e-02,0.00000,0.00000
Hybrid + Persson-Peraire,True,,3.42851e-02,4.10139e-02,0.01291,1.00000
Hybrid + NN policy,True,,2.30207e-02,3.15693e-02,0.00403,0.68989
