scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),False,0.00760,1.26227e-03,1.26227e-03,0.00000,0.00000
Hybrid + Persson-Peraire,False,0.00760,1.33075e-03,1.33075e-03,0.00214,1.00000
Hybrid + NN policy,False,0.00320,1.29630e-03,1.29630e-03,0.00147,0.01155
