scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),True,,4.76933e-02,5.40916e-02,0.00000,0.00000
Hybrid + Persson-Peraire,True,,4.71085e-02,4.80556e-02,0.02557,1.00000
Hybrid + NN policy,True,,3.59690e-02,3.72261e-02,0.01390,0.97304
