scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),False,0.17100,2.22094e-02,2.60320e-02,0.00000,0.00000
Hybrid + Persson-Peraire,True,,1.48099e-02,2.77776e-02,0.01188,1.00000
Hybrid + NN policy,True,,1.56210e-02,1.75292e-02,0.00975,0.94156
