P,n_elem,case,scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
6,96,shu-osher,Hybrid + Persson-Peraire,True,,3.49483e-02,5.57323e-02,0.01459,1.00000
6,96,shu-osher,Hybrid + NN policy,True,,2.27030e-02,4.74191e-02,0.00594,1.00000
6,96,random_seed42,DGSEM (no stabilization),True,,5.48785e-02,5.48785e-02,0.00000,0.00000
6,96,random_seed42,Hybrid + Persson-Peraire,True,,2.23240e-02,2.63618e-02,0.01084,1.00000
6,96,random_seed42,Hybrid + NN policy,True,,1.37934e-02,2.03334e-02,0.00499,1.00000
8,32,sod,DGSEM (no stabilization),True,,5.01234e-03,7.46285e-03,0.00000,0.00000
8,32,sod,Hybrid + Persson-Peraire,True,,4.20734e-03,4.99349e-03,0.00392,0.99752
8,32,sod,Hybrid + NN policy,True,,2.88633e-03,3.58051e-03,0.00119,0.74255
8,32,lax,DGSEM (no stabilization),False,0.08720,5.85965e-02,5.85965e-02,0.00000,0.00000
8,32,lax,Hybrid + Persson-Peraire,True,,3.96226e-02,4.25570e-02,0.01427,1.00000
8,32,lax,Hybrid + NN policy,True,,3.50816e-02,3.66442e-02,0.00655,0.99713
8,32,shu-osher,DGSEM (no stabilization),False,0.54900,3.24713e-02,3.62177e-02,0.00000,0.00000
8,32,shu-osher,Hybrid + Persson-Peraire,True,,5.09586e-02,5.97332e-02,0.02833,1.00000
8,32,shu-osher,Hybrid + NN policy,True,,3.81801e-02,4.78414e-02,0.00998,0.99746
8,32,random_seed42,DGSEM (no stabilization),False,0.17200,3.67062e-02,3.83400e-02,0.00000,0.00000
8,32,random_seed42,Hybrid + Persson-Peraire,True,,3.24743e-02,3.46257e-02,0.02702,1.00000
8,32,random_seed42,Hybrid + NN policy,True,,2.44923e-02,2.80783e-02,0.01048,1.00000
8,64,sod,DGSEM (no stabilization),False,0.13600,7.08495e-03,7.38853e-03,0.00000,0.00000
8,64,sod,Hybrid + Persson-Peraire,True,,3.78912e-03,4.51586e-03,0.00654,1.00000
8,64,sod,Hybrid + NN policy,True,,2.86298e-03,3.60840e-03,0.00221,0.87865
8,64,lax,DGSEM (no stabilization),False,0.00480,2.62249e-04,2.62249e-04,0.00000,0.00000
8,64,lax,Hybrid + Persson-Peraire,False,0.00480,2.62249e-04,2.62249e-04,0.00434,1.00000
8,64,lax,Hybrid + NN policy,False,0.00480,2.62249e-04,2.62249e-04,0.00008,0.00775
8,64,shu-osher,DGSEM (no stabilization),False,0.23400,1.77188e-02,1.77188e-02,0.00000,0.00000
8,64,shu-osher,Hybrid + Persson-Peraire,True,,3.90931e-02,5.43409e-02,0.01694,1.00000
8,64,shu-osher,Hybrid + NN policy,True,,2.62477e-02,4.47336e-02,0.00737,1.00000
8,64,random_seed42,DGSEM (no stabilization),False,0.17400,3.33148e-02,3.40897e-02,0.00000,0.00000
8,64,random_seed42,Hybrid + Persson-Peraire,True,,2.30799e-02,2.54876e-02,0.01290,1.00000
8,64,random_seed42,Hybrid + NN policy,True,,1.94515e-02,2.13829e-02,0.00605,1.00000
8,96,sod,DGSEM (no stabilization),False,0.05800,2.00017e-03,2.00017e-03,0.00000,0.00000
8,96,sod,Hybrid + Persson-Peraire,False,0.04900,5.57468e-04,5.57468e-04,0.00039,0.92836
8,96,sod,Hybrid + NN policy,False,0.05700,1.95184e-03,1.95184e-03,0.00024,0.72673
8,96,shu-osher,DGSEM (no stabilization),False,0.17100,1.83942e-02,1.83942e-02,0.00000,0.00000
8,96,shu-osher,Hybrid + Persson-Peraire,True,,2.67792e-02,4.35912e-02,0.01188,1.00000
8,96,shu-osher,Hybrid + NN policy,True,,1.80214e-02,4.51343e-02,0.00508,1.00000
8,96,random_seed42,DGSEM (no stabilization),False,0.00900,9.80413e-04,9.80413e-04,0.00000,0.00000
8,96,random_seed42,Hybrid + Persson-Peraire,False,0.00900,9.80413e-04,9.80413e-04,0.00019,0.08895
8,96,random_seed42,Hybrid + NN policy,False,0.00900,9.80523e-04,9.80523e-04,0.00001,0.05274
