scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),False,0.28800,3.56347e-02,3.56347e-02,0.00000,0.00000
Hybrid + Persson-Peraire,True,,6.31485e-02,9.96942e-02,0.03531,1.00000
Hybrid + NN policy,True,,3.09575e-02,5.15892e-02,0.00583,0.99461
