scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),False,0.00440,1.26851e-03,1.26851e-03,0.00000,0.00000
Hybrid + Persson-Peraire,False,0.00440,1.26851e-03,1.26851e-03,0.00146,0.63738
Hybrid + NN policy,False,0.00440,1.27151e-03,1.27151e-03,0.00064,0.25290
