scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),True,,4.96667e-03,7.17294e-03,0.00000,0.00000
Hybrid + Persson-Peraire,True,,2.46622e-03,2.88352e-03,0.00532,1.00000
Hybrid + NN policy,True,,2.42774e-03,2.67367e-03,0.00326,0.93796
