scheme,stable,blowup_time,final_rel_L2_density,max_rel_L2_density,mean_alpha,max_alpha
DGSEM (no stabilization),False,0.05760,5.08020e-02,5.08020e-02,0.00000,0.00000
Hybrid + Persson-Peraire,True,,6.23045e-02,1.06913e-01,0.04022,1.00000
Hybrid + NN policy,True,,3.22754e-02,4.97285e-02,0.00760,0.93444
